# n_sightlines = 10000
# dX = 37.252272 Mpc (comoving)
# redshift = 5.994167
# n_absorbers = 10027
# beta_fit = -1.680279
# f_N_HI units: [Mpc^-1] (comoving)
#
log10_N_HI,f_N_HI,counts,delta_log_N,bin_center
1.211141e+01,2.684400e-05,2,2.000000e-01,1.292447e+12
1.231141e+01,2.684400e-05,2,2.000000e-01,2.048390e+12
1.251141e+01,1.342200e-05,1,2.000000e-01,3.246479e+12
1.271141e+01,1.342200e-05,1,2.000000e-01,5.145323e+12
1.291141e+01,4.026600e-05,3,2.000000e-01,8.154787e+12
1.311141e+01,1.476420e-04,11,2.000000e-01,1.292447e+13
1.331141e+01,8.321640e-04,62,2.000000e-01,2.048390e+13
1.351141e+01,3.261546e-03,243,2.000000e-01,3.246479e+13
1.371141e+01,8.200842e-03,611,2.000000e-01,5.145323e+13
1.391141e+01,1.264352e-02,942,2.000000e-01,8.154787e+13
1.411141e+01,1.495211e-02,1114,2.000000e-01,1.292447e+14
1.431141e+01,1.485815e-02,1107,2.000000e-01,2.048390e+14
1.451141e+01,1.468367e-02,1094,2.000000e-01,3.246479e+14
1.471141e+01,1.163687e-02,867,2.000000e-01,5.145323e+14
1.491141e+01,1.045574e-02,779,2.000000e-01,8.154787e+14
1.511141e+01,8.388750e-03,625,2.000000e-01,1.292447e+15
1.531141e+01,6.697578e-03,499,2.000000e-01,2.048390e+15
1.551141e+01,6.066744e-03,452,2.000000e-01,3.246479e+15
1.571141e+01,4.080288e-03,304,2.000000e-01,5.145323e+15
1.591141e+01,3.932646e-03,293,2.000000e-01,8.154787e+15
1.611141e+01,2.939418e-03,219,2.000000e-01,1.292447e+16
1.631141e+01,2.550180e-03,190,2.000000e-01,2.048390e+16
1.651141e+01,2.160942e-03,161,2.000000e-01,3.246479e+16
1.671141e+01,1.207980e-03,90,2.000000e-01,5.145323e+16
1.691141e+01,1.167714e-03,87,2.000000e-01,8.154787e+16
1.711141e+01,6.979440e-04,52,2.000000e-01,1.292447e+17
1.731141e+01,7.113660e-04,53,2.000000e-01,2.048390e+17
1.751141e+01,5.234580e-04,39,2.000000e-01,3.246479e+17
1.771141e+01,2.952840e-04,22,2.000000e-01,5.145323e+17
1.791141e+01,3.623940e-04,27,2.000000e-01,8.154787e+17
1.811141e+01,2.550180e-04,19,2.000000e-01,1.292447e+18
1.831141e+01,1.879080e-04,14,2.000000e-01,2.048390e+18
1.851141e+01,6.711000e-05,5,2.000000e-01,3.246479e+18
1.871141e+01,4.026600e-05,3,2.000000e-01,5.145323e+18
1.891141e+01,0.000000e+00,0,2.000000e-01,8.154787e+18
1.911141e+01,9.395400e-05,7,2.000000e-01,1.292447e+19
1.931141e+01,8.053200e-05,6,2.000000e-01,2.048390e+19
1.951141e+01,6.711000e-05,5,2.000000e-01,3.246479e+19
1.971141e+01,1.073760e-04,8,2.000000e-01,5.145323e+19
1.991141e+01,5.368800e-05,4,2.000000e-01,8.154787e+19
2.011141e+01,2.684400e-05,2,2.000000e-01,1.292447e+20
2.031141e+01,2.684400e-05,2,2.000000e-01,2.048390e+20
2.051141e+01,0.000000e+00,0,2.000000e-01,3.246479e+20
2.071141e+01,0.000000e+00,0,2.000000e-01,5.145323e+20
2.091141e+01,0.000000e+00,0,2.000000e-01,8.154787e+20
2.111141e+01,0.000000e+00,0,2.000000e-01,1.292447e+21
2.131141e+01,0.000000e+00,0,2.000000e-01,2.048390e+21
2.151141e+01,0.000000e+00,0,2.000000e-01,3.246479e+21
2.171141e+01,0.000000e+00,0,2.000000e-01,5.145323e+21
2.191141e+01,0.000000e+00,0,2.000000e-01,8.154787e+21
