# n_sightlines = 10000
# dX = 37.252272 Mpc (comoving)
# redshift = 5.977617
# n_absorbers = 10057
# beta_fit = -1.856567
# f_N_HI units: [Mpc^-1] (comoving)
#
log10_N_HI,f_N_HI,counts,delta_log_N,bin_center
1.211141e+01,0.000000e+00,0,2.000000e-01,1.292447e+12
1.231141e+01,0.000000e+00,0,2.000000e-01,2.048390e+12
1.251141e+01,1.342200e-05,1,2.000000e-01,3.246479e+12
1.271141e+01,1.342200e-05,1,2.000000e-01,5.145323e+12
1.291141e+01,4.026600e-05,3,2.000000e-01,8.154787e+12
1.311141e+01,8.053200e-05,6,2.000000e-01,1.292447e+13
1.331141e+01,2.684400e-05,2,2.000000e-01,2.048390e+13
1.351141e+01,0.000000e+00,0,2.000000e-01,3.246479e+13
1.371141e+01,2.147520e-04,16,2.000000e-01,5.145323e+13
1.391141e+01,2.160942e-03,161,2.000000e-01,8.154787e+13
1.411141e+01,1.195900e-02,891,2.000000e-01,1.292447e+14
1.431141e+01,2.571655e-02,1916,2.000000e-01,2.048390e+14
1.451141e+01,2.924654e-02,2179,2.000000e-01,3.246479e+14
1.471141e+01,2.456226e-02,1830,2.000000e-01,5.145323e+14
1.491141e+01,1.552925e-02,1157,2.000000e-01,8.154787e+14
1.511141e+01,9.918858e-03,739,2.000000e-01,1.292447e+15
1.531141e+01,6.080166e-03,453,2.000000e-01,2.048390e+15
1.551141e+01,3.583674e-03,267,2.000000e-01,3.246479e+15
1.571141e+01,2.134098e-03,159,2.000000e-01,5.145323e+15
1.591141e+01,1.261668e-03,94,2.000000e-01,8.154787e+15
1.611141e+01,5.905680e-04,44,2.000000e-01,1.292447e+16
1.631141e+01,3.892380e-04,29,2.000000e-01,2.048390e+16
1.651141e+01,4.160820e-04,31,2.000000e-01,3.246479e+16
1.671141e+01,3.489720e-04,26,2.000000e-01,5.145323e+16
1.691141e+01,1.744860e-04,13,2.000000e-01,8.154787e+16
1.711141e+01,1.342200e-04,10,2.000000e-01,1.292447e+17
1.731141e+01,8.053200e-05,6,2.000000e-01,2.048390e+17
1.751141e+01,2.684400e-05,2,2.000000e-01,3.246479e+17
1.771141e+01,8.053200e-05,6,2.000000e-01,5.145323e+17
1.791141e+01,4.026600e-05,3,2.000000e-01,8.154787e+17
1.811141e+01,1.342200e-05,1,2.000000e-01,1.292447e+18
1.831141e+01,4.026600e-05,3,2.000000e-01,2.048390e+18
1.851141e+01,4.026600e-05,3,2.000000e-01,3.246479e+18
1.871141e+01,0.000000e+00,0,2.000000e-01,5.145323e+18
1.891141e+01,0.000000e+00,0,2.000000e-01,8.154787e+18
1.911141e+01,0.000000e+00,0,2.000000e-01,1.292447e+19
1.931141e+01,1.342200e-05,1,2.000000e-01,2.048390e+19
1.951141e+01,4.026600e-05,3,2.000000e-01,3.246479e+19
1.971141e+01,0.000000e+00,0,2.000000e-01,5.145323e+19
1.991141e+01,0.000000e+00,0,2.000000e-01,8.154787e+19
2.011141e+01,1.342200e-05,1,2.000000e-01,1.292447e+20
2.031141e+01,0.000000e+00,0,2.000000e-01,2.048390e+20
2.051141e+01,0.000000e+00,0,2.000000e-01,3.246479e+20
2.071141e+01,0.000000e+00,0,2.000000e-01,5.145323e+20
2.091141e+01,0.000000e+00,0,2.000000e-01,8.154787e+20
2.111141e+01,0.000000e+00,0,2.000000e-01,1.292447e+21
2.131141e+01,0.000000e+00,0,2.000000e-01,2.048390e+21
2.151141e+01,0.000000e+00,0,2.000000e-01,3.246479e+21
2.171141e+01,0.000000e+00,0,2.000000e-01,5.145323e+21
2.191141e+01,0.000000e+00,0,2.000000e-01,8.154787e+21
